n;iteration;theta_no;theta_bh;t_no;t_bh;total_no;total_bh;ratio
40;32;0.000093;0.000715;0.066264;0.016439;0.066357;0.017154;3.868311
40;33;0.000089;0.000795;0.064250;0.016535;0.064339;0.017330;3.712579
40;34;0.000088;0.000888;0.064541;0.018185;0.064629;0.019073;3.388507
40;35;0.000090;0.000708;0.068836;0.013439;0.068926;0.014147;4.872128
40;36;0.000089;0.000701;0.073190;0.023067;0.073279;0.023768;3.083095
40;37;0.000092;0.000753;0.073762;0.020881;0.073854;0.021634;3.413793
40;38;0.000091;0.000700;0.061866;0.017587;0.061957;0.018287;3.388035
40;39;0.000088;0.000702;0.064303;0.018262;0.064391;0.018964;3.395433
40;40;0.000109;0.000756;0.071090;0.016784;0.071199;0.017540;4.059236
40;41;0.000089;0.000703;0.068857;0.017641;0.068946;0.018344;3.758504
40;42;0.000089;0.000709;0.062530;0.014159;0.062619;0.014868;4.211663
40;43;0.000090;0.000701;0.069811;0.017531;0.069901;0.018232;3.833973
40;44;0.000089;0.000705;0.065420;0.022522;0.065509;0.023227;2.820381
40;45;0.000089;0.000704;0.070284;0.015120;0.070373;0.015824;4.447232
40;46;0.000089;0.000707;0.059207;0.021231;0.059296;0.021938;2.702890
40;47;0.000085;0.000667;0.066697;0.020782;0.066782;0.021449;3.113525
40;48;0.000119;0.000810;0.072644;0.021227;0.072763;0.022037;3.301856
40;49;0.000087;0.000723;0.064735;0.018715;0.064822;0.019438;3.334808
40;50;0.000122;0.000899;0.069987;0.014629;0.070109;0.015528;4.515005
40;51;0.000089;0.000704;0.070770;0.017399;0.070859;0.018103;3.914213
40;52;0.000088;0.000705;0.072184;0.021563;0.072272;0.022268;3.245554
